Object,Method,AUROC,AU-PRO,Pixel AUROC,Pixel F1,IoU,Cls Accuracy,Cls Precision,Cls Recall,Cls F1,TP,FP,FN,TN
bottle,1_shot,1.0000,0.8528,0.9883,0.8291,0.3305,0.8193,0.8077,1.0000,0.8936,63,15,0,5
bottle,2_shot,0.9992,0.8259,0.9879,0.8239,0.3299,0.8434,0.8289,1.0000,0.9065,63,13,0,7
bottle,4_shot,0.9992,0.8904,0.9879,0.8241,0.3287,0.8313,0.8267,0.9841,0.8986,62,13,1,7
bottle,8_shot,1.0000,0.9275,0.9888,0.8330,0.3369,0.8675,0.8514,1.0000,0.9197,63,11,0,9
bottle,zero_shot,1.0000,0.9188,0.9871,0.8284,0.2850,0.7108,0.7468,0.9365,0.8310,59,20,4,0
cable,1_shot,0.9372,0.8075,0.9519,0.6961,0.1651,0.6267,0.6216,1.0000,0.7667,92,56,0,2
cable,2_shot,0.9483,0.8026,0.9578,0.6904,0.1717,0.6133,0.6133,1.0000,0.7603,92,58,0,0
cable,4_shot,0.9462,0.7775,0.9597,0.6926,0.1738,0.6133,0.6133,1.0000,0.7603,92,58,0,0
cable,8_shot,0.9541,0.8468,0.9609,0.6906,0.1780,0.6200,0.6174,1.0000,0.7635,92,57,0,1
cable,zero_shot,0.9481,0.8095,0.9671,0.6304,0.1536,0.6067,0.6107,0.9891,0.7552,91,58,1,0
capsule,1_shot,0.9174,0.8751,0.9856,0.5519,0.0547,0.8258,0.8258,1.0000,0.9046,109,23,0,0
capsule,2_shot,0.9342,0.8457,0.9885,0.5507,0.0585,0.8258,0.8258,1.0000,0.9046,109,23,0,0
capsule,4_shot,0.9493,0.8665,0.9897,0.5624,0.0616,0.8258,0.8258,1.0000,0.9046,109,23,0,0
capsule,8_shot,0.9681,0.9358,0.9901,0.5682,0.0617,0.8258,0.8258,1.0000,0.9046,109,23,0,0
capsule,zero_shot,0.9362,0.8920,0.9898,0.5657,0.0576,0.8258,0.8258,1.0000,0.9046,109,23,0,0
carpet,1_shot,1.0000,0.9203,0.9913,0.7311,0.1024,0.7863,0.7857,0.9888,0.8756,88,24,1,4
carpet,2_shot,1.0000,0.8326,0.9916,0.7321,0.1015,0.7778,0.7838,0.9775,0.8700,87,24,2,4
carpet,4_shot,0.9996,0.8478,0.9916,0.7334,0.1051,0.8376,0.8241,1.0000,0.9036,89,19,0,9
carpet,8_shot,1.0000,0.8341,0.9917,0.7325,0.1066,0.8376,0.8241,1.0000,0.9036,89,19,0,9
carpet,zero_shot,1.0000,0.9092,0.9938,0.7370,0.0938,0.7778,0.7739,1.0000,0.8725,89,26,0,2
grid,1_shot,0.9557,0.7867,0.9371,0.3320,0.0266,0.8077,0.8000,0.9825,0.8819,56,14,1,7
grid,2_shot,0.9624,0.7702,0.9416,0.3397,0.0263,0.7564,0.7568,0.9825,0.8550,56,18,1,3
grid,4_shot,0.9607,0.7926,0.9474,0.3494,0.0282,0.7692,0.7746,0.9649,0.8594,55,16,2,5
grid,8_shot,0.9724,0.7815,0.9470,0.3495,0.0280,0.7436,0.7467,0.9825,0.8485,56,19,1,2
grid,zero_shot,0.9850,0.8439,0.9633,0.3049,0.0219,0.6667,0.7123,0.9123,0.8000,52,21,5,0
